"_id","Work Order #","Product ID","Product Name","Time In","Time Out"
"5c8ff0624f2ae20017d13246","","","","2019-03-18 18:58","2019-03-18 21:03"
"5c8ff0634f2ae20017d13249","","","","2019-03-18 18:58","2019-03-18 21:03"
"5c8ff0634f2ae20017d1324a","","","","2019-03-18 18:58","2019-03-18 21:03"
"5c8ff0614f2ae20017d13240","","","","2019-03-18 18:58","2019-03-18 20:58"
"5c8ff0614f2ae20017d13242","","","","2019-03-18 18:58","2019-03-18 20:58"
"5c8ff0624f2ae20017d13244","","","","2019-03-18 18:58","2019-03-18 20:58"
